GSS_CD,date,GSS_NM,TotalCases,day,area_type,CTY19CD,CTY19NM,LAD19CD,LAD19NM,velocity,acceleration
E06000013,2020-03-29,North Lincolnshire,13,89,LAD,,,E06000013,North Lincolnshire,6.0,5.0
E06000014,2020-03-18,York,4,78,LAD,,,E06000014,York,,
E06000014,2020-03-19,York,5,79,LAD,,,E06000014,York,1.0,
E06000014,2020-03-20,York,6,80,LAD,,,E06000014,York,1.0,0.0
E06000014,2020-03-21,York,8,81,LAD,,,E06000014,York,2.0,1.0
E06000014,2020-03-22,York,10,82,LAD,,,E06000014,York,2.0,0.0
E06000014,2020-03-23,York,10,83,LAD,,,E06000014,York,0.0,-2.0
E06000014,2020-03-24,York,11,84,LAD,,,E06000014,York,1.0,1.0
E06000014,2020-03-25,York,14,85,LAD,,,E06000014,York,3.0,2.0
E06000014,2020-03-26,York,14,86,LAD,,,E06000014,York,0.0,-3.0
E06000014,2020-03-27,York,17,87,LAD,,,E06000014,York,3.0,3.0
E06000014,2020-03-28,York,19,88,LAD,,,E06000014,York,2.0,-1.0
E06000014,2020-03-29,York,21,89,LAD,,,E06000014,York,2.0,0.0
E06000015,2020-03-18,Derby,11,78,LAD,,,E06000015,Derby,,
E06000015,2020-03-19,Derby,9,79,LAD,,,E06000015,Derby,-2.0,
E06000015,2020-03-20,Derby,12,80,LAD,,,E06000015,Derby,3.0,5.0
E06000015,2020-03-21,Derby,18,81,LAD,,,E06000015,Derby,6.0,3.0
E06000015,2020-03-22,Derby,23,82,LAD,,,E06000015,Derby,5.0,-1.0
E06000015,2020-03-23,Derby,23,83,LAD,,,E06000015,Derby,0.0,-5.0
E06000015,2020-03-24,Derby,37,84,LAD,,,E06000015,Derby,14.0,14.0
E06000015,2020-03-25,Derby,40,85,LAD,,,E06000015,Derby,3.0,-11.0
E06000015,2020-03-26,Derby,58,86,LAD,,,E06000015,Derby,18.0,15.0
E06000015,2020-03-27,Derby,77,87,LAD,,,E06000015,Derby,19.0,1.0
E06000015,2020-03-28,Derby,100,88,LAD,,,E06000015,Derby,23.0,4.0
E06000015,2020-03-29,Derby,105,89,LAD,,,E06000015,Derby,5.0,-18.0
E06000016,2020-03-18,Leicester,3,78,LAD,,,E06000016,Leicester,,
E06000016,2020-03-19,Leicester,5,79,LAD,,,E06000016,Leicester,2.0,
E06000016,2020-03-20,Leicester,11,80,LAD,,,E06000016,Leicester,6.0,4.0
E06000016,2020-03-21,Leicester,14,81,LAD,,,E06000016,Leicester,3.0,-3.0
E06000016,2020-03-22,Leicester,19,82,LAD,,,E06000016,Leicester,5.0,2.0
E06000016,2020-03-23,Leicester,22,83,LAD,,,E06000016,Leicester,3.0,-2.0
E06000016,2020-03-24,Leicester,24,84,LAD,,,E06000016,Leicester,2.0,-1.0
E06000016,2020-03-25,Leicester,32,85,LAD,,,E06000016,Leicester,8.0,6.0
E06000016,2020-03-26,Leicester,45,86,LAD,,,E06000016,Leicester,13.0,5.0
E06000016,2020-03-27,Leicester,61,87,LAD,,,E06000016,Leicester,16.0,3.0
E06000016,2020-03-28,Leicester,65,88,LAD,,,E06000016,Leicester,4.0,-12.0
E06000016,2020-03-29,Leicester,65,89,LAD,,,E06000016,Leicester,0.0,-4.0
E06000017,2020-03-18,Rutland,0,78,LAD,,,E06000017,Rutland,,
E06000017,2020-03-19,Rutland,0,79,LAD,,,E06000017,Rutland,0.0,
E06000017,2020-03-20,Rutland,0,80,LAD,,,E06000017,Rutland,0.0,0.0
E06000017,2020-03-21,Rutland,0,81,LAD,,,E06000017,Rutland,0.0,0.0
E06000017,2020-03-22,Rutland,0,82,LAD,,,E06000017,Rutland,0.0,0.0
E06000017,2020-03-23,Rutland,0,83,LAD,,,E06000017,Rutland,0.0,0.0
E06000017,2020-03-24,Rutland,0,84,LAD,,,E06000017,Rutland,0.0,0.0
E06000017,2020-03-25,Rutland,0,85,LAD,,,E06000017,Rutland,0.0,0.0
E06000017,2020-03-26,Rutland,0,86,LAD,,,E06000017,Rutland,0.0,0.0
E06000017,2020-03-27,Rutland,0,87,LAD,,,E06000017,Rutland,0.0,0.0
E06000017,2020-03-28,Rutland,2,88,LAD,,,E06000017,Rutland,2.0,2.0
E06000017,2020-03-29,Rutland,2,89,LAD,,,E06000017,Rutland,0.0,-2.0
E06000018,2020-03-18,Nottingham,14,78,LAD,,,E06000018,Nottingham,,
E06000018,2020-03-19,Nottingham,14,79,LAD,,,E06000018,Nottingham,0.0,
E06000018,2020-03-20,Nottingham,22,80,LAD,,,E06000018,Nottingham,8.0,8.0
E06000018,2020-03-21,Nottingham,22,81,LAD,,,E06000018,Nottingham,0.0,-8.0
E06000018,2020-03-22,Nottingham,34,82,LAD,,,E06000018,Nottingham,12.0,12.0
E06000018,2020-03-23,Nottingham,41,83,LAD,,,E06000018,Nottingham,7.0,-5.0
